table_field
address.contact_id
address.address_line_1
address.address_line_2
address.city
address.state
address.postal_code
address.country
address.address_type
address.search_vector
address.id
address.created_at
address.created_by_name
address.created_by_id
address.updated_by_name
address.updated_by_id
address.release_status
analysis_method.analysis_method_code
analysis_method.analysis_method_name
analysis_method.analysis_method_type
analysis_method.source_organization
analysis_method.id
analysis_method.created_at
analysis_method.created_by_name
analysis_method.created_by_id
analysis_method.updated_by_name
analysis_method.updated_by_id
analysis_method.release_status
asset.name
asset.label
asset.storage_service
asset.storage_path
asset.mime_type
asset.size
asset.uri
asset.search_vector
asset.id
asset.created_at
asset.created_by_name
asset.created_by_id
asset.updated_by_name
asset.updated_by_id
asset.release_status
asset_thing_association.asset_id
asset_thing_association.thing_id
asset_thing_association.id
asset_thing_association.created_at
asset_thing_association.created_by_name
asset_thing_association.created_by_id
asset_thing_association.updated_by_name
asset_thing_association.updated_by_id
collaborative_network_well.actively_monitored
collaborative_network_well.thing_id
collaborative_network_well.id
collaborative_network_well.created_at
collaborative_network_well.created_by_name
collaborative_network_well.created_by_id
collaborative_network_well.updated_by_name
collaborative_network_well.updated_by_id
contact.name
contact.organization
contact.role
contact.contact_type
contact.nma_pk_owners
contact.nma_pk_waterlevels
contact.search_vector
contact.id
contact.created_at
contact.created_by_name
contact.created_by_id
contact.updated_by_name
contact.updated_by_id
contact.release_status
data_provenance.target_id
data_provenance.target_table
data_provenance.field_name
data_provenance.origin_source
data_provenance.collection_method
data_provenance.accuracy_value
data_provenance.accuracy_unit
data_provenance.id
data_provenance.created_at
data_provenance.created_by_name
data_provenance.created_by_id
data_provenance.updated_by_name
data_provenance.updated_by_id
data_provenance.release_status
deployment.thing_id
deployment.sensor_id
deployment.installation_date
deployment.removal_date
deployment.recording_interval
deployment.recording_interval_units
deployment.hanging_cable_length
deployment.hanging_point_height
deployment.hanging_point_description
deployment.notes
deployment.id
deployment.created_at
deployment.created_by_name
deployment.created_by_id
deployment.updated_by_name
deployment.updated_by_id
deployment.release_status
email.contact_id
email.email
email.email_type
email.search_vector
email.id
email.created_at
email.created_by_name
email.created_by_id
email.updated_by_name
email.updated_by_id
email.release_status
field_activity.field_event_id
field_activity.activity_type
field_activity.notes
field_activity.id
field_activity.created_at
field_activity.created_by_name
field_activity.created_by_id
field_activity.updated_by_name
field_activity.updated_by_id
field_activity.release_status
field_event.thing_id
field_event.event_date
field_event.notes
field_event.id
field_event.created_at
field_event.created_by_name
field_event.created_by_id
field_event.updated_by_name
field_event.updated_by_id
field_event.release_status
field_event_participant.field_event_id
field_event_participant.contact_id
field_event_participant.participant_role
field_event_participant.id
field_event_participant.created_at
field_event_participant.created_by_name
field_event_participant.created_by_id
field_event_participant.updated_by_name
field_event_participant.updated_by_id
field_event_participant.release_status
geochronology_age.location_id
geochronology_age.age
geochronology_age.age_error
geochronology_age.method
geochronology_age.id
geochronology_age.created_at
geochronology_age.created_by_name
geochronology_age.created_by_id
geochronology_age.updated_by_name
geochronology_age.updated_by_id
geography_columns.f_table_catalog
geography_columns.f_table_schema
geography_columns.f_table_name
geography_columns.f_geography_column
geography_columns.coord_dimension
geography_columns.srid
geography_columns.type
geometry_columns.f_table_catalog
geometry_columns.f_table_schema
geometry_columns.f_table_name
geometry_columns.f_geometry_column
geometry_columns.coord_dimension
geometry_columns.srid
geometry_columns.type
group.name
group.description
group.project_area
group.group_type
group.parent_group_id
group.id
group.created_at
group.created_by_name
group.created_by_id
group.updated_by_name
group.updated_by_id
group.release_status
group_thing_association.group_id
group_thing_association.thing_id
group_thing_association.id
group_thing_association.created_at
group_thing_association.created_by_name
group_thing_association.created_by_id
group_thing_association.updated_by_name
group_thing_association.updated_by_id
incomplete_nma_phone.contact_id
incomplete_nma_phone.phone_number
incomplete_nma_phone.id
incomplete_nma_phone.created_at
incomplete_nma_phone.created_by_name
incomplete_nma_phone.created_by_id
incomplete_nma_phone.updated_by_name
incomplete_nma_phone.updated_by_id
lexicon_category.name
lexicon_category.description
lexicon_category.id
lexicon_category.created_at
lexicon_category.created_by_name
lexicon_category.created_by_id
lexicon_category.updated_by_name
lexicon_category.updated_by_id
lexicon_term.term
lexicon_term.definition
lexicon_term.id
lexicon_term.created_at
lexicon_term.created_by_name
lexicon_term.created_by_id
lexicon_term.updated_by_name
lexicon_term.updated_by_id
lexicon_term_category_association.term_id
lexicon_term_category_association.category_id
lexicon_term_category_association.id
lexicon_term_category_association.created_at
lexicon_term_category_association.created_by_name
lexicon_term_category_association.created_by_id
lexicon_term_category_association.updated_by_name
lexicon_term_category_association.updated_by_id
lexicon_triple.subject
lexicon_triple.predicate
lexicon_triple.object_
lexicon_triple.id
lexicon_triple.created_at
lexicon_triple.created_by_name
lexicon_triple.created_by_id
lexicon_triple.updated_by_name
lexicon_triple.updated_by_id
location.nma_pk_location
location.point
location.elevation
location.county
location.state
location.quad_name
location.nma_notes_location
location.nma_coordinate_notes
location.id
location.created_at
location.created_by_name
location.created_by_id
location.updated_by_name
location.updated_by_id
location.release_status
location_thing_association.location_id
location_thing_association.thing_id
location_thing_association.effective_start
location_thing_association.effective_end
location_thing_association.id
location_thing_association.created_at
location_thing_association.created_by_name
location_thing_association.created_by_id
location_thing_association.updated_by_name
location_thing_association.updated_by_id
location_version.nma_pk_location
location_version.point
location_version.elevation
location_version.county
location_version.state
location_version.quad_name
location_version.nma_notes_location
location_version.nma_coordinate_notes
location_version.id
location_version.created_at
location_version.created_by_name
location_version.created_by_id
location_version.updated_by_name
location_version.updated_by_id
location_version.release_status
location_version.transaction_id
location_version.end_transaction_id
location_version.operation_type
measuring_point_history.thing_id
measuring_point_history.measuring_point_height
