WellID,PointID,OBJECTID,DepthToWater,DepthToWaterBGS,LevelStatus,DataQuality,MPHeight,MeasurementMethod,MeasuredBy,DataSource,MeasuringAgency,SiteNotes,LevelStatement,GlobalID,SSMA_TimeStamp,PublicRelease,Geometry,DateMeasured,TimeMeasured,TimeDatum
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424122,124.26,124.26,,,0,F,TWDB,A,TWDB,,,A97E1F4F-72B4-427A-9A1B-444D55C90AE2,0x00000000000790C1,true,,2002-01-15,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424220,149.68,149.68,,,0,F,TWDB,A,TWDB,,,14C56414-B28C-451A-A67D-42354B0BDA4C,0x00000000000783D5,true,,2003-08-10,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,422277,125.42,125.42,,,0,F,TWDB,A,TWDB,,,0E4A151F-ED9C-44C9-AD82-423B228C2AE0,0x00000000000783F6,true,,1969-09-10,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,422933,140.5,140.5,,,0,F,TWDB,A,TWDB,,,4EF1D07D-1AEC-443A-BA0F-458573E9F775,0x000000000007984B,true,,1979-06-01,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423317,122.56,122.56,,,0,S,TWDB,A,TWDB,,,8728EC71-B47E-4062-B072-44EC38FC076E,0x00000000000794BC,true,,1989-11-08,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,422813,131.52,131.52,,,0,F,TWDB,A,TWDB,,,5A55078E-790E-475D-948B-4589D2116CB3,0x0000000000079860,true,,1977-04-20,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,429891,157.62,157.62,,,0,F,TWDB,A,TWDB, ,,2F39712D-0758-4E79-BC6E-478D6742AB86,0x000000000007A55B,true,,2020-08-20,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423885,128.36,128.36,,,0,F,TWDB,A,TWDB,,,8FE24BD1-189F-496C-90B6-4593A53E6F6A,0x000000000007989E,true,,1998-05-15,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424865,136.37,136.37,,,0,F,TWDB,A,TWDB,,,A5EF1FA9-6999-44F2-A2E5-459C7CBCD4B6,0x00000000000798DB,true,,2013-01-05,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424654,136.41,136.41,,,0,F,TWDB,A,TWDB,,,533A4C42-5302-4130-BC0B-47B077BE789C,0x000000000007A63D,true,,2009-11-30,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,422897,141.57,141.57,,,0,F,TWDB,A,TWDB,,,562D356E-9482-487F-B983-47A4254D78B4,0x000000000007A5F0,true,,1978-09-30,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424658,134.18,134.18,,,0,F,TWDB,A,TWDB,,,CBB8381B-3AB6-41EF-9D38-479B24CBC272,0x000000000007A5B1,true,,2009-12-20,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424177,139.82,139.82,,,0,F,TWDB,A,TWDB,,,7DB69598-F291-4FBF-827B-47A014898381,0x000000000007A5D4,true,,2002-10-20,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,425171,153.35,153.35,,,0,F,TWDB,A,TWDB,,,07E96523-76A8-4E63-9C69-44E2E9502B0A,0x0000000000079478,true,,2017-07-05,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424055,141.86,141.86,,,0,F,TWDB,A,TWDB,,,5FB5FBFE-0E61-47AB-9C43-455B61EC593F,0x0000000000079750,true,,2000-09-20,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424782,143.71,143.71,,,0,F,TWDB,A,TWDB,,,7D9599C3-5551-457D-998A-44CF7A5424EF,0x00000000000793F4,true,,2011-11-05,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423653,125.81,125.81,,,0,F,TWDB,A,TWDB,,,D95E212A-C34A-4473-A69B-44C8F45989F1,0x00000000000793CF,true,,1994-10-15,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424048,143.34,143.34,,,0,F,TWDB,A,TWDB,,,2BBDA3F1-0D0B-4F2B-A09F-42B4671DF564,0x0000000000078726,true,,2000-08-15,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423354,126.7,126.7,,,0,F,TWDB,A,TWDB,,,19E56AA5-E16E-42F6-999E-44C1EEF39498,0x00000000000793A9,true,,1990-05-25,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424823,144.16,144.16,,,0,F,TWDB,A,TWDB,,,0EEAD98B-CF69-4C94-A8B4-42B15CE90E58,0x0000000000078716,true,,2012-05-30,,
