PointID,MeasuringAgency
SO-0248,NMT
SO-0250,NMBGMR
SO-0250,NMISC
SO-0250,NMT
SO-0251,NMBGMR
SO-0251,NMISC
SO-0251,NMT
SO-0252,NMBGMR
SO-0252,NMISC
SO-0252,NMT
SO-0253,NMBGMR
SO-0253,NMISC
SO-0253,NMT
SO-0254,NMBGMR
SO-0254,NMISC
SO-0254,NMT
SO-0255,NMBGMR
SO-0255,NMISC
SO-0255,NMT
SO-0256,NMBGMR
SO-0256,NMISC
SO-0256,NMT
SO-0257,NMBGMR
SO-0257,NMISC
SO-0258,NMBGMR
SO-0258,NMISC
SO-0258,NMT
SO-0259,NMBGMR
SO-0259,NMISC
SO-0259,NMT
SO-0260,NMBGMR
SO-0260,NMISC
SO-0261,NMBGMR
SO-0261,NMISC
TB-0029,NMBGMR
TB-0029,NMOSE
TB-0037,NMBGMR
TB-0037,NMOSE
TB-0060,NMBGMR
TB-0060,USGS
TB-0071,NMBGMR
TB-0071,NMOSE
TB-0091,NMBGMR
TB-0091,NMOSE
TB-0139,NMBGMR
TB-0139,NMOSE
TB-0139,USGS
TB-0142,NMBGMR
TB-0142,NMOSE
TB-0204,NMBGMR
TB-0204,SNL
TB-0206,NMBGMR
TB-0206,SNL
TB-0208,NMBGMR
TB-0208,SNL
TB-0209,NMBGMR
TB-0209,SNL
TB-0210,NMBGMR
TB-0210,SNL
TB-0212,NMBGMR
TB-0212,SNL
TB-0213,NMBGMR
TB-0213,SNL
TC-205,NMBGMR
TC-205,USGS
TC-207,NMBGMR
TC-207,USGS
TC-211,NMBGMR
TC-211,USGS
TC-219,NMBGMR
TC-219,USGS
TC-229,NMBGMR
TC-229,USGS
TC-230,NMBGMR
TC-230,USGS
TC-240,
TC-240,NMBGMR
TC-240,USGS
TC-249,
TC-249,NMBGMR
TC-249,USGS
UC-0001,
UC-0001,NESWCD
UC-0001,USGS
UC-0002,
UC-0002,NESWCD
UC-0002,USGS
UC-0003,
UC-0003,NESWCD
UC-0003,USGS
UC-0004,
UC-0004,NESWCD
UC-0004,USGS
UC-0005,
UC-0005,NESWCD
UC-0005,USGS
UC-0006,NESWCD
UC-0006,USGS
UC-0007,
UC-0007,NESWCD
UC-0007,USGS
UC-0008,NESWCD
UC-0008,USGS
UC-0009,
UC-0009,NESWCD
UC-0009,USGS
UC-0010,NESWCD
UC-0010,USGS
UC-0011,NESWCD
UC-0011,USGS
UC-0012,
UC-0012,NESWCD
UC-0012,USGS
UC-0013,
UC-0013,NESWCD
UC-0013,USGS
UC-0014,NESWCD
UC-0014,USGS
UC-0015,
UC-0015,NESWCD
UC-0015,USGS
UC-0016,NESWCD
UC-0016,USGS
UC-0017,
UC-0017,NESWCD
UC-0017,USGS
UC-0018,
UC-0018,NESWCD
UC-0018,USGS
UC-0033,
UC-0033,NESWCD
UC-0033,USGS
UC-0036,
UC-0036,NESWCD
UC-0036,USGS
UC-0037,
UC-0037,NESWCD
UC-0037,USGS
UC-0039,
UC-0039,NESWCD
UC-0039,USGS
UC-0043,
UC-0043,NESWCD
UC-0043,USGS
UC-0044,
UC-0044,NESWCD
UC-0044,USGS
UC-0068,NMBGMR
UC-0068,USGS
UC-0069,NMBGMR
UC-0069,USGS
UC-0070,NMBGMR
UC-0070,USGS
UC-0072,NMBGMR
UC-0072,USGS
UC-0073,NMBGMR
UC-0073,USGS
UC-0074,NMBGMR
UC-0074,USGS
UC-0075,NMBGMR
UC-0075,USGS
UC-0076,NMBGMR
UC-0076,USGS
UC-0078,NESWCD
UC-0078,NMBGMR
UC-0078,USGS
UC-0079,NMBGMR
UC-0079,USGS
UC-0083,NMBGMR
UC-0083,USGS
UC-0084,NMBGMR
UC-0084,USGS
UC-0085,NMBGMR
UC-0085,USGS
UC-0086,NMBGMR
UC-0086,USGS
UC-0087,NMBGMR
UC-0087,USGS
UC-0088,NMBGMR
UC-0088,USGS
UC-0089,NMBGMR
UC-0089,USGS
UC-0090,NMBGMR
UC-0090,USGS
UC-0091,NMBGMR
UC-0091,USGS
UC-0092,NMBGMR
UC-0092,USGS
UC-0093,NMBGMR
UC-0093,USGS
UC-0094,NMBGMR
UC-0094,USGS
UC-0095,NMBGMR
UC-0095,USGS
UC-0096,NMBGMR
UC-0096,USGS
UC-0097,NESWCD
UC-0097,USGS
UC-0098,NESWCD
UC-0098,USGS
UC-0099,NESWCD
UC-0099,USGS
UC-0100,NESWCD
UC-0100,USGS
UC-0101,NESWCD
UC-0101,USGS
UC-0102,NESWCD
UC-0102,USGS
UC-0103,NESWCD
UC-0103,USGS
UC-0104,NESWCD
UC-0104,USGS
UC-0105,NESWCD
UC-0105,USGS
UC-0106,NESWCD
UC-0106,USGS
UC-0107,NESWCD
UC-0107,USGS
UC-0108,NESWCD
UC-0108,USGS
UC-0109,NESWCD
UC-0109,USGS
UC-0110,NESWCD
UC-0110,USGS
UC-0111,NESWCD
UC-0111,USGS
UC-0112,NESWCD
UC-0112,USGS
UC-0113,NESWCD
UC-0113,USGS
UC-0114,NESWCD
UC-0114,USGS
UC-0115,NESWCD
UC-0115,USGS
UC-0116,NESWCD
UC-0116,USGS
UC-0117,NESWCD
UC-0117,USGS
UC-0118,NESWCD
UC-0118,USGS
UC-0119,NESWCD
UC-0119,USGS
UC-0120,NESWCD
UC-0120,USGS
UC-0121,NESWCD
UC-0121,USGS
UC-0122,NESWCD
UC-0122,USGS
UC-0123,NESWCD
UC-0123,USGS
UC-0134,NMBGMR
UC-0134,USGS
UC-0136,NMBGMR
UC-0136,USGS
UC-0138,NMBGMR
UC-0138,USGS
UC-0139,NMBGMR
UC-0139,USGS
WL-0034,SNL
WL-0034,USGS
WL-0086,Bayard
WL-0086,NMBGMR
WL-0087,Bayard
WL-0087,NMBGMR
WL-0088,Bayard
WL-0088,NMBGMR
WL-0089,Bayard
WL-0089,NMBGMR
WL-0090,Bayard
WL-0090,NMBGMR
WL-0091,Bayard
WL-0091,NMBGMR
WL-0132,NMBGMR
WL-0132,USGS
WL-0134,NMBGMR
WL-0134,USGS
WS-007,NMBGMR
WS-007,USGS
WS-008,NMBGMR
WS-008,USGS
WS-009,NMBGMR
WS-009,USGS
WS-010,NMBGMR
WS-010,USGS
WS-012,NMBGMR
WS-012,USGS
WS-016,NMBGMR
WS-016,USGS
