model|input_count|cleaned_count|transferred|issue_percentage
Well|38541|8180|7697|5.9046454767726155
PointID|Table|Field|Error
WL-0197|WellData||measuring_point_height: Input should be a valid number
WL-0170|WellData||measuring_point_height: Input should be a valid number
AR-0192|WellData||measuring_point_height: Input should be a valid number
PP-016|WellData||measuring_point_height: Input should be a valid number
WL-0350|WellData||measuring_point_height: Input should be a valid number
PP-033|WellData||measuring_point_height: Input should be a valid number
AR-0153|WellData||measuring_point_height: Input should be a valid number
AR-0202|WellData||measuring_point_height: Input should be a valid number
WL-0141|WellData||measuring_point_height: Input should be greater than or equal to 0
DA-0203|WellData||measuring_point_height: Input should be a valid number
PP-009|WellData||measuring_point_height: Input should be a valid number
AH-059|WellData||measuring_point_height: Input should be a valid number
PP-042|WellData||measuring_point_height: Input should be a valid number
TO-0503|WellData||measuring_point_height: Input should be a valid number
WL-0359|WellData||measuring_point_height: Input should be greater than or equal to 0
PP-053|WellData||measuring_point_height: Input should be a valid number
TO-0554|WellData||measuring_point_height: Input should be a valid number
PP-066|WellData||measuring_point_height: Input should be a valid number
NM-28453|WellData||measuring_point_height: Input should be a valid number
AH-081|WellData||measuring_point_height: Input should be a valid number
EB-424|WellData||measuring_point_height: Input should be greater than or equal to 0
TO-0501|WellData||measuring_point_height: Input should be a valid number
EB-420|WellData||measuring_point_height: Input should be greater than or equal to 0
TC-405|WellData||measuring_point_height: Input should be greater than or equal to 0
AH-067|WellData||measuring_point_height: Input should be a valid number
PP-056|WellData||measuring_point_height: Input should be a valid number
AH-094|WellData||measuring_point_height: Input should be a valid number
SM-0234|WellData||measuring_point_height: Input should be greater than or equal to 0
TO-0510|WellData||measuring_point_height: Input should be a valid number
AH-100|WellData||measuring_point_height: Input should be a valid number
AR-0119|WellData||measuring_point_height: Input should be a valid number
DA-0204|WellData||measuring_point_height: Input should be a valid number
NM-28457|WellData||measuring_point_height: Input should be a valid number
AH-099|WellData||measuring_point_height: Input should be a valid number
AR-0175|WellData||measuring_point_height: Input should be a valid number
TC-317|WellData||measuring_point_height: Input should be greater than or equal to 0
PP-049|WellData||measuring_point_height: Input should be a valid number
SM-0079|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-186|WellData||measuring_point_height: Input should be greater than or equal to 0
TO-0544|WellData||measuring_point_height: Input should be a valid number
AR-0180|WellData||measuring_point_height: Input should be a valid number
BC-0235|WellData||measuring_point_height: Input should be greater than or equal to 0
SV-0125|WellData||Value error, well casing depth must be less than or equal to hole depth
TO-0542|WellData||measuring_point_height: Input should be a valid number
EB-586|WellData||measuring_point_height: Input should be greater than or equal to 0
TO-0559|WellData||measuring_point_height: Input should be a valid number
WL-0069|WellData||measuring_point_height: Input should be a valid number
AR-0191|WellData||measuring_point_height: Input should be a valid number
DA-0199|WellData||measuring_point_height: Input should be a valid number
AR-0177|WellData||measuring_point_height: Input should be a valid number
TO-0516|WellData||measuring_point_height: Input should be a valid number
TV-229|WellData||measuring_point_height: Input should be greater than or equal to 0
PP-007|WellData||measuring_point_height: Input should be a valid number
EB-107|WellData||measuring_point_height: Input should be greater than or equal to 0
AH-084|WellData||measuring_point_height: Input should be a valid number
TO-0498|WellData||measuring_point_height: Input should be a valid number
AH-109|WellData||measuring_point_height: Input should be a valid number
WL-0004|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-241|WellData||measuring_point_height: Input should be greater than or equal to 0
PP-014|WellData||measuring_point_height: Input should be a valid number
AH-079|WellData||measuring_point_height: Input should be a valid number
TO-0531|WellData||measuring_point_height: Input should be a valid number
CP-0019|WellData||measuring_point_height: Input should be a valid number
TC-313|WellData||measuring_point_height: Input should be a valid number
EB-009|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-367|WellData||measuring_point_height: Input should be greater than or equal to 0
TV-119|WellData||measuring_point_height: Input should be greater than or equal to 0
PP-043|WellData||measuring_point_height: Input should be a valid number
AR-0123|WellData||measuring_point_height: Input should be a valid number
EB-085|WellData||measuring_point_height: Input should be greater than or equal to 0
AH-092|WellData||measuring_point_height: Input should be a valid number
QU-158|WellData||measuring_point_height: Input should be greater than or equal to 0
TO-0552|WellData||measuring_point_height: Input should be a valid number
AR-0182|WellData||measuring_point_height: Input should be a valid number
PP-050|WellData||measuring_point_height: Input should be a valid number
PP-065|WellData||measuring_point_height: Input should be a valid number
AH-085|WellData||measuring_point_height: Input should be a valid number
TO-0523|WellData||measuring_point_height: Input should be a valid number
AH-090|WellData||measuring_point_height: Input should be a valid number
EB-432|WellData||measuring_point_height: Input should be greater than or equal to 0
WL-0129|WellData||measuring_point_height: Input should be greater than or equal to 0
PP-019|WellData||measuring_point_height: Input should be a valid number
WL-0305|WellData||measuring_point_height: Input should be a valid number
TO-0500|WellData||measuring_point_height: Input should be a valid number
AR-0197|WellData||measuring_point_height: Input should be a valid number
TC-420|WellData||measuring_point_height: Input should be a valid number
AH-068|WellData||measuring_point_height: Input should be a valid number
PP-035|WellData||measuring_point_height: Input should be a valid number
AR-0171|WellData||measuring_point_height: Input should be a valid number
