NMAquiferTable,MatchField,SamplePtID,WCLab_ID,SamplePointID,AnalysesAgency,StudySample,DataQuality,SampleType,CollectionDate,CollectionMethod,CollectedBy,WaterType,SampleNotes,DataSource,SampleMaterialNotH2O,OBJECTID,LocationId,AddedDaytoDate,AddedMonthDaytoDate,SSMA_TimeStamp,PublicRelease
dbo.Chemistry SampleInfo,DataSource,67AE3E7F-55A7-49D2-883B-3DAB55AFECF9,,NM-28367B,USGS,,true,SD,1991-04-23 00:00:00.000,U,A,,,USGS,,7158,7F086A7B-EE1F-094C-AF40-950E4C3BB382,false,false,0x0000000000025532,true
dbo.Chemistry SampleInfo,DataSource,A9DB775B-02CC-4C67-8BC6-3E2DC4CF6B0C,,NM-09532A,USGS,,true,SD,1955-05-25 00:00:00.000,U,A,,,USGS,,7277,1BB68F6C-64FE-4B2D-83C1-1620D48DDD98,false,false,0x000000000002554B,true
dbo.Chemistry SampleInfo,DataSource,54DBE9D3-CA6D-4094-9F6A-3E4B17D46B0F,,NM-08817A,USGS,,true,SD,1967-03-16 00:00:00.000,U,A,,,USGS,,7232,E074EBA6-90AE-43AB-821F-B9983AC913F3,false,false,0x0000000000025551,true
dbo.Chemistry SampleInfo,DataSource,20D57D5D-9B20-4B39-9B0A-40538C1EA960,,NM-09055A,USGS,,true,SD,1954-10-18 00:00:00.000,U,A,,,USGS,,7235,8994FFF2-775B-4B66-A0FF-F156939C09C0,false,false,0x00000000000255B5,true
dbo.Chemistry SampleInfo,DataSource,3D865878-96BF-4F3B-ACA9-40A672893CCF,,NM-07330V,USGS,,true,SD,1955-11-30 00:00:00.000,U,A,,,USGS,,7215,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x00000000000255C6,true
dbo.Chemistry SampleInfo,DataSource,16CF836E-0C04-4FAC-935F-41EBF7499EC3,,NM-00262C,USGS,,true,SD,1944-05-03 00:00:00.000,U,A,,,USGS,,7183,8A4FBC86-99E0-47BB-86F5-57AA9853764E,false,false,0x00000000000255F9,true
dbo.Chemistry SampleInfo,DataSource,EFF9BF1E-F545-44DD-BC45-43353F0F085C,,NM-09469A,USGS,,true,SD,1948-07-20 00:00:00.000,U,A,,,USGS,,7257,3A1A150B-6694-41FB-84A1-E87324D71F65,false,false,0x0000000000025636,true
dbo.Chemistry SampleInfo,DataSource,36B9E3AD-53EB-44B2-8579-45694B9D4D6A,,NM-08909B,USGS,,true,SD,2014-07-23 00:00:00.000,U,A,,,USGS,,7234,F53BE625-4477-4DDF-A7AC-F42A3D5BC299,false,false,0x0000000000025691,true
dbo.Chemistry SampleInfo,DataSource,952507A2-F8FC-4807-B78B-474174A13730,,NM-28363B,USGS,,true,SD,1991-04-24 00:00:00.000,U,A,,,USGS,,7142,7E94BEE5-26E6-E34C-8A95-C2D8B6A7CE00,false,false,0x00000000000256F0,true
dbo.Chemistry SampleInfo,DataSource,30889492-B000-4BA9-9150-482A5E5E9BAF,,NM-08166A,USGS,,true,SD,1955-03-25 00:00:00.000,U,A,,,USGS,,7230,7C09D0BA-1F5F-421B-B55F-DDA0D2400DC2,false,false,0x0000000000025717,true
dbo.Chemistry SampleInfo,DataSource,5D67EF15-125E-4195-8F59-4AE23C115747,,NM-09502A,USGS,,true,SD,1950-05-19 00:00:00.000,U,A,,,USGS,,7263,9F0AAAEB-5C4D-4E1E-9F9B-0A78D3CEE050,false,false,0x000000000002578F,true
dbo.Chemistry SampleInfo,DataSource,A5F385F5-442B-4C6D-86E5-4C3867032785,,NM-00388B,USGS,,true,SD,2003-09-22 00:00:00.000,U,A,,,USGS,,7244,E70E8F6A-93A5-4061-AC9A-4205037F120C,false,false,0x00000000000257D3,true
