Old Table Name,Old Column Name,Reason
AllWQ_CrossTab_NDs_Working,SO4,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,Sr,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,TAn,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,TCat,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,TDS,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,Th,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,Ti,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,Tl,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,U,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,V,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,Zn,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,OBJECTID,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,SamplePtID,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,PointID,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,SiteNames,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Easting,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Northing,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,DataReliability,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,SamplePointID,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,StudySample,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,WaterType,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,SampleType,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Altitude,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,AquiferType,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,AqClass,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,WellDepth,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,FormationZone,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,CollectionDate,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,SiteType,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,CountOfSamplePointID,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,CollectedBy,No corresponding sheet (expected 'NMAquifer_{old table name}')
